drug,rankpc_rho,pc_qvalue,pc_rho
dienestrol,1,0,-0.538277628
BW-180C,2,0,-0.505940214
T-0156,3,0,-0.504340303
alogliptin,4,0,-0.497037142
roflumilast,5,0,-0.494971612
diclofensine,6,0,-0.48911972
isradipine,7,0,-0.488090441
imiloxan,8,0,-0.481142417
niacin,9,0,-0.480994456
CV-1808,10,0,-0.46564403
disopyramide,11,0,-0.465524525
granisetron,12,0,-0.451289284
LGK-974,13,0,-0.431919945
iguratimod,14,0,-0.424505588
fadrozole,15,0,-0.423628263
protoporphyrin-ix,16,0,-0.421968691
latanoprost,17,0,-0.419077071
glipizide,18,0,-0.416068154
xylometazoline,19,0,-0.414214774
zebularine,20,0,-0.411669967
MK-3207,21,0,-0.407151297
zileuton,22,0,-0.402938513
lenalidomide,23,0,-0.402135112
GW-501516,24,0,-0.402084061
camicinal,25,0,-0.396447228
CS-917,26,0,-0.394034602
lorazepam,27,0,-0.384792779
gemfibrozil,28,0,-0.384043701
rotundine,29,0,-0.383836307
acetazolamide,30,0,-0.382450636
yohimbine,31,0,-0.382442161
imidapril,32,0,-0.381348816
canrenone,33,0,-0.380649318
propylthiouracil,34,0,-0.373714543
BYK-204165,35,0,-0.373552171
ICI-162846,36,0,-0.371270324
topiramate,37,0,-0.370716961
lamotrigine,38,0,-0.369939691
aniracetam,39,0,-0.365958902
temocapril,40,0,-0.363839112
PT-630,41,0,-0.3626432
cyclothiazide,42,2.94902637192656e-17,-0.361011633
NECA,43,7.25962865790286e-18,-0.360264
5-methoxytryptamine,44,1.07019471131194e-16,-0.359460068
genistein,45,0,-0.356334554
curcumin,46,9.4275507038838e-15,-0.350415984
polydatin,47,4.46904227101415e-14,-0.349192482
ibuprofen-piconol,48,3.89023611635549e-16,-0.348788076
fasudil,49,1.89980495916761e-15,-0.347179556
alizapride,50,5.4153483112457e-15,-0.347173553
teneligliptin,51,1.42947369856341e-15,-0.346202293
SYM-2206,52,5.51682743266504e-16,-0.345911352
diphenylpyraline,53,1.00406114209709e-13,-0.345593207
myricitrin,54,7.62866790393245e-16,-0.344146982
eprobemide,55,1.84273557643646e-15,-0.343795962
sulpiride,56,9.506707408544e-14,-0.339319038
CPI-1189,57,1.1130147313145e-15,-0.338763544
milnacipran,58,8.39653233713477e-14,-0.338288178
ostarine,59,2.6807034764287e-14,-0.337475463
tiagabine,60,1.23646017702909e-13,-0.337179974
travoprost,61,1.27365937008621e-14,-0.335731832
GR-144053,62,3.27663042103854e-14,-0.333651291
butaclamol,63,2.96612293076045e-13,-0.333632154
anisodamine,64,1.70438552815091e-13,-0.332658294
motesanib,65,4.11342640349841e-14,-0.332537303
etomidate,66,3.43543808136849e-13,-0.330955484
BRD-A61189834,67,1.12633056395286e-13,-0.330938911
losartan,68,9.47727252433331e-14,-0.329194758
nimodipine,69,9.49724249901485e-14,-0.328559166
dalfampridine,70,1.85403143653966e-12,-0.328438564
VTP-27999,71,8.78541835917684e-13,-0.327159942
hydroxyurea,72,1.12633056395286e-13,-0.326127205
decitabine,73,6.97712500953223e-13,-0.325497619
EX-527,74,2.14594590071647e-14,-0.324587348
FTI-276,75,3.30560050967481e-13,-0.324214372
AV-412,76,3.12257435131403e-12,-0.323371965
BMY-14802,77,1.38815579556617e-13,-0.323337722
tacrine,78,2.01918111211781e-13,-0.321773359
naloxone-benzoylhydrazone,79,1.48007182287894e-12,-0.320485259
firategrast,80,1.73049120606387e-12,-0.319551142
alaproclate,81,1.40654208232833e-13,-0.318695862
probucol,82,8.66718602753588e-13,-0.31833279
pentoxifylline,83,1.58011610973827e-12,-0.317238247
riociguat,84,3.63795247420013e-12,-0.316257665
AST-1306,85,6.10836026388294e-12,-0.313710057
BRD-K76211160,86,4.76441577462994e-12,-0.3134816
olmesartan-medoxomil,87,2.96770413812736e-12,-0.312379283
darunavir,88,2.90276479858621e-12,-0.311998817
minoxidil,89,1.61249127260044e-11,-0.310176509
MK-8245,90,9.2307283764725e-12,-0.30991863
indoprofen,91,3.14598200701203e-11,-0.309327299
BRD-K56658166,92,1.59205526176786e-11,-0.307161712
MGCD-265,93,7.41080966743205e-12,-0.306748116
trelagliptin,94,2.37745982668195e-11,-0.304484867
sacubitril,95,2.62960994238387e-11,-0.304378138
ursolic-acid,96,6.28163036066279e-11,-0.303757015
ascorbic-acid,97,5.38855970792302e-11,-0.303598297
indinavir,98,1.08162324213832e-11,-0.303520692
L-690330,99,1.52392296661207e-11,-0.303371786
CO-101244,100,1.22018146988523e-11,-0.302814335
estrone,101,5.95108832436351e-12,-0.302475451
myricetin,102,4.22598919235831e-12,-0.300171769
IWP-L6,103,8.2347529280933e-11,-0.299802842
BRD-K77690805,104,1.15915760195442e-10,-0.298967131
chlorcyclizine,105,3.34692986950261e-11,-0.298828495
hydroxyamphetamine,106,1.58618751552121e-11,-0.29836142
tubocurarine,107,1.00298469910855e-10,-0.296616826
betrixaban,108,1.04647216733557e-10,-0.296050852
spiperone,109,4.53767087148163e-11,-0.292305013
otilonium,110,1.92511939831801e-10,-0.292101372
lofexidine,111,2.01516271203908e-10,-0.292015822
mifobate,112,2.13674841101308e-10,-0.291624155
KU-55933,113,1.2406647236835e-10,-0.290644101
ziprasidone,114,8.13126543286032e-11,-0.290055908
gimeracil,115,9.79719619034492e-11,-0.289920634
azelaic-acid,116,2.74122842719808e-10,-0.28969702
taranabant,117,2.71456229705569e-10,-0.289528523
alda-1,118,1.59283071848551e-10,-0.286774117
JWH-015,119,2.43847690885334e-10,-0.286540154
NF-449,120,4.01238491529216e-10,-0.286059088
nitrocaramiphen,121,3.87961116370117e-10,-0.285777764
DMP-777,122,1.99300738658228e-10,-0.284841304
efatutazone,123,3.62242879112179e-10,-0.281884931
FK-33-824,124,2.23479529681457e-09,-0.281203397
BRD-A69470004,125,4.0744280908096e-10,-0.281064519
levosimendan,126,1.48585765175444e-09,-0.280871677
tienilic-acid,127,2.27620038624071e-10,-0.280270156
RS-23597-190,128,4.0744280908096e-10,-0.279549207
CI-966,129,9.00173632660784e-10,-0.278832572
vidarabine,130,5.79774515911696e-10,-0.278802278
cholic-acid,131,1.48585765175444e-09,-0.278745181
rilmenidine,132,5.30435469808626e-10,-0.278389191
KU-C103428N,133,1.48585765175444e-09,-0.278220421
MDL-73005EF,134,7.99114997333434e-09,-0.276427657
veliparib,135,1.60551609083051e-10,-0.276395225
quiflapon,136,2.46853237377352e-09,-0.275736405
cobicistat,137,2.05317792013824e-09,-0.275484631
mCPP,138,2.49797457433754e-09,-0.274095721
P-1075,139,9.80509479275932e-10,-0.273822117
enprofylline,140,3.19866230577345e-09,-0.273535721
repaglinide,141,1.50606393097492e-09,-0.27333749
bumetanide,142,1.52105624984485e-09,-0.272996684
nitisinone,143,4.78552348122735e-09,-0.27288382
varenicline,144,1.18253265799739e-09,-0.27238627
BRD-K47448802,145,6.5848522628177e-09,-0.272194933
indometacin,146,5.50431335839474e-09,-0.271637501
haloperidol,147,4.25465104011643e-09,-0.271231779
tetracaine,148,8.08077114365704e-09,-0.27121414
felbamate,149,3.02358616255949e-09,-0.269487737
BRD-A83255679,150,4.1120595571884e-09,-0.269063484
harmine,151,4.1446779006611e-09,-0.268979162
letrozole,152,8.86033099342644e-09,-0.268658661
amrinone,153,6.81003260957969e-09,-0.268325039
desmopressin-acetate,154,8.47023974413431e-09,-0.268228525
