GeneID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
A1BG,0.188681233,-0.024873626,-0.550734792,1.274559123,0.115338706,0.338614563,-0.667474862,0.304080637,0.402468663,-0.126045944,0.765431579,-0.773395064,-0.53637369
A1CF,-3.473302376,-0.905368146,-0.498465487,-0.483811203,-0.325351089,-0.035715496,0.083350124,0.318604645,-0.203579567,-0.11904033,0.500727698,-1.168997216,0.14422117
A4GALT,-4.147516124,-0.985661626,0.638353822,-0.384553263,-0.289609465,-0.736390776,-0.497580954,0.675230091,0.969400328,-0.27142187,-0.608575419,0.856451766,-0.276479702
AAAS,0.088379474,0.855866181,-0.682209209,1.476064715,0.524645049,-0.168292274,0.086283986,-0.149855409,0.098512841,0.129533042,-0.586878908,0.136727262,-0.036721615
AACS,0.644609691,0.062046272,-0.339056166,-0.425644992,0.061942944,0.033192207,0.124856456,0.110394872,-0.06124658,-0.113669724,-0.156538117,-0.13299737,0.068952645
AADACL4,-3.82528075,-2.138604688,-0.12588245,-1.104444126,-0.345120709,-0.920025969,-0.342446181,-0.314382113,0.371916705,0.482092359,-0.0068801,0.322492258,1.033279035
AADAT,-4.668957001,-0.716782511,-0.618478734,0.327076582,0.302093502,0.641425435,0.19497699,0.414039098,0.683823242,-0.180768585,-0.173496513,1.327556805,0.61898545
AAK1,0.482385092,0.758691798,-0.858407752,-0.372182442,-0.597172566,0.356983927,-0.254799038,-0.042292451,0.19543563,0.280263059,-0.048594478,0.015920046,-0.318059835
AAMP,1.185351993,0.132040526,-0.223476992,-0.6313964,0.162346698,-0.488002345,0.899509753,-0.121135903,-0.455285425,-0.126933589,0.154527163,-0.048027576,-0.229678902
AARS2,0.75844751,0.292809237,-1.120229049,-0.345591621,0.284208382,-0.318208238,0.075875869,-0.040215777,-0.151848052,-0.156290213,0.128832647,-0.089156602,0.350047846
AARSD1,0.749381481,-0.453904593,-0.785543347,-0.08545881,0.156912829,-0.26478746,0.114671148,-0.143610304,0.046347083,-0.070722233,-0.053016714,-0.404959238,0.316159601
AASDH,0.84025712,-0.886225262,-0.337046201,0.022840698,-0.24389277,0.030743732,-0.246076551,-0.026064493,-0.255753934,-0.079332727,-0.034177668,0.057330208,-0.099657564
AASDHPPT,1.184606784,-1.16789959,-0.118187033,-0.127592039,0.070509062,0.123530316,0.219229028,-0.105239683,-0.277833647,0.092866238,0.029980197,-0.063983356,-0.015298965
AASS,0.051254862,-0.185486006,-0.555724589,-0.700236298,-0.673004892,-0.096418137,-0.491994907,-0.8465593,-0.223529368,-0.127090183,-0.008811016,0.203331466,-0.341961438
AATF,1.12930785,-0.017969909,0.278640642,-0.335977303,-0.056432764,-0.008105604,0.308635621,-0.047805578,-0.073116422,0.180074917,-0.336291987,-0.15481067,-0.142933178
AATK,0.0508738,2.193951678,0.81649691,0.700979134,0.478047574,0.215848904,0.440393641,-0.359819477,-0.009444499,-0.198267058,-0.207914066,0.402476844,0.558454158
ABAT,0.249508454,1.475965352,0.864410717,-0.313404549,0.177315575,-0.074516882,0.055918374,0.083044896,-0.386817967,0.040611795,-0.106250874,0.345537373,-0.014279276
ABCA1,0.841839111,0.908479437,0.903392687,-0.59172679,0.377733531,-0.856273019,0.147475787,-0.221612619,0.500725373,0.004865789,0.366341299,0.09512615,0.578558783
ABCA10,-0.251633917,0.275635637,-0.661842214,-0.521603749,-0.654683551,0.373055503,-0.169138213,-0.441167792,0.139428937,0.151441194,-0.266236747,0.758272271,0.199736607
ABCA13,-1.343908745,0.799874902,2.144115194,0.662919245,0.773055266,-1.173841503,0.423196904,0.255729379,0.443669876,0.518726822,-0.570363231,-0.048345335,-0.573155373
ABCA2,0.377836759,1.603267331,0.081535735,0.243946951,0.90102831,0.346809179,-0.060871479,0.003792658,0.164328502,-0.462920104,-0.157805956,-0.029346041,-0.073289862
ABCA3,-0.964590219,1.379038804,-0.503012583,-0.092499876,0.973001089,0.04005126,-0.304774523,-0.419070243,-0.120184624,0.060791027,-0.502377931,0.46247249,-0.24170986
ABCA5,0.765432122,-0.544335892,-0.213016824,-0.441816283,-0.548572397,0.519342474,-0.021538647,-0.139556486,0.120511295,0.066142836,-0.134918244,0.211057236,-0.101015413
ABCA6,-1.157561474,-0.103222816,-0.188290406,-1.27127686,-0.751415982,0.299721264,-0.315427173,-0.011928875,-0.255214785,-0.17096721,-0.250761271,-0.508237717,0.255718257
ABCA7,0.338060957,1.83695994,0.487348418,0.731878074,0.326055026,0.120750807,0.006340506,0.259193581,0.231204847,0.031732981,-0.03969205,0.074847224,-0.077955993
ABCA8,-4.091117071,-0.6594955,0.854218129,-1.26621707,0.182785673,-0.638120273,-0.309914643,-0.951653928,0.198164514,-0.031960048,0.008452814,-0.930339097,0.372444948
ABCA9,-1.939684454,-0.367715992,-0.420535228,-1.892004256,-0.451791479,0.095557051,-0.018401207,0.044327494,0.264509959,-0.093883825,0.037236116,-0.84488427,0.03198073
ABCB1,0.850552661,-0.454752539,-0.245121075,-0.02171872,0.514137328,0.582141469,0.197470046,-0.850456921,0.100100182,-0.044331829,-0.302330484,0.405309223,-0.107305753
ABCB10,0.90358468,-0.128305893,0.104449195,0.273059049,-0.765774167,-0.532349488,0.238055932,0.335838462,0.056284093,-0.256119224,-0.195372241,-0.167265895,0.068052277
ABCB4,0.065337012,-0.658567948,-1.107502169,-0.557839221,-0.135329165,-0.335438633,0.057895387,0.46496166,-0.647800943,-0.46290745,0.184216247,-0.139201514,-0.252100172
ABCB6,0.256248176,0.971496542,-0.342390179,-0.214166535,-0.416540194,-0.453251306,0.440355643,0.689158342,-0.339534113,0.040381318,-0.236135084,-0.275169635,0.29837029
ABCB7,1.030543752,-0.861872265,-0.256125356,-0.381799494,-0.31884706,-0.088201775,0.192529368,-0.063845805,-0.103725187,0.090569565,0.040830695,-0.094119137,-0.121583174
ABCB8,0.266134287,0.829271287,-0.816999345,-0.359230178,0.351834508,-0.304914712,0.434097713,0.194398847,-0.209154407,0.438174315,-0.161162438,-0.530830629,0.126040283
ABCB9,-1.604447134,0.175022546,-0.604852926,-0.030735733,0.102592921,-0.115111869,-1.184677538,0.042962309,-0.036973169,-0.328239764,0.246856393,-0.360804499,0.0895297
ABCC1,0.3646288,1.343692034,-0.489613584,-0.105087305,-0.109197994,-0.131872755,-0.204784964,0.673326667,0.380330614,0.101439048,0.239593302,0.23841675,-0.028347714
ABCC10,0.485058826,1.188801028,-0.539865694,-0.135908159,0.224435515,-0.160108987,0.126913374,0.106845538,0.359584651,-0.38337606,-0.051347478,0.324318931,0.173411446
ABCC11,-0.431841374,0.347118236,-0.498020293,-0.456085484,0.336782178,0.426091879,-0.096349249,0.250116298,0.311784186,0.671368749,-0.29932858,-0.384344232,0.468110862
ABCC13,-0.18643605,0.625307749,0.651751763,2.183541511,-1.979109788,-0.937430231,1.001348969,0.597535277,-0.321769602,-0.080293984,0.140909381,-0.07933074,-0.52730671
ABCC2,0.12745181,0.174658138,0.597273248,-0.22043209,0.162858474,-0.216582952,-0.113067797,0.42220969,0.153860892,0.005684321,-0.099151518,0.063425526,0.184361991
ABCC3,-0.060434057,1.88898832,0.804875214,-0.028560155,-0.55093336,-0.665261668,0.256642419,0.465547966,-0.464906002,0.696341757,0.709433158,0.140721784,0.60425383
ABCC4,0.451738386,0.484540418,0.494626151,0.872918326,-1.533601255,-0.835689826,-0.194449525,0.017899965,-0.326502291,0.108073817,-0.322749812,0.265413532,-0.15985559
ABCC5,0.813494959,0.848204999,0.538048666,-0.535620052,-0.138742117,0.155770043,-0.079164131,-0.160943986,-0.217419591,0.003525727,-0.203012218,0.143280904,0.043140236
ABCC6,-0.351865434,1.008332368,1.31700557,-0.414142591,0.628497796,-0.283958023,0.149601199,-0.017224377,0.668679303,-0.370960322,-1.115462649,-0.346006476,0.141603516
ABCC9,-4.307199005,-0.459445196,0.783868628,0.017951973,-0.282962971,-0.712690233,-0.342799416,0.607636673,1.704142927,-0.210432297,-0.513380339,0.477377574,0.514689095
ABCD1,0.296026209,2.168298263,-0.193611334,0.701651798,0.991276975,0.379271021,0.047203184,0.167560932,-0.207062744,0.152116754,0.282227366,0.117244516,-0.022539083
ABCD2,0.880300432,-0.663123888,-0.759410533,0.088559452,-0.492638407,0.249679725,-0.195315834,0.062596638,-0.385941122,0.126541155,0.345696989,-0.06256362,-0.15288826
